0:0:0:0:0:0:0:1 - - [25/Aug/2016:19:55:59 -0300] "GET /jyaa_2016_grupo06_final/rest/rutas/1 HTTP/1.1" 200 400
0:0:0:0:0:0:0:1 - - [25/Aug/2016:19:55:59 -0300] "POST /jyaa_2016_grupo06_final/rest/rutas/1 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [25/Aug/2016:19:55:59 -0300] "GET /jyaa_2016_grupo06_final/rest/rutas/1 HTTP/1.1" 200 531
0:0:0:0:0:0:0:1 - - [25/Aug/2016:19:56:12 -0300] "GET /jyaa_2016_grupo06_final/faces/usuario_misRutas.xhtml HTTP/1.1" 200 19222
0:0:0:0:0:0:0:1 - - [25/Aug/2016:19:56:12 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/theme.css?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2016:19:56:12 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/components.css?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2016:19:56:12 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2016:19:56:12 -0300] "GET /jyaa_2016_grupo06_final/faces/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [25/Aug/2016:19:56:12 -0300] "GET /jyaa_2016_grupo06_final/faces/js/jquery.js HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [25/Aug/2016:19:56:12 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/components.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2016:19:56:12 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2016:19:56:12 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/core.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2016:19:56:12 -0300] "GET /jyaa_2016_grupo06_final/faces/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [25/Aug/2016:19:56:12 -0300] "GET /jyaa_2016_grupo06_final/faces/js/jquery.js HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [25/Aug/2016:19:56:19 -0300] "GET /jyaa_2016_grupo06_final/faces/usuario_nuevaRuta.xhtml HTTP/1.1" 200 17040
0:0:0:0:0:0:0:1 - - [25/Aug/2016:19:56:19 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/components.css?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2016:19:56:19 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/core.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
